boroughcode,boroughname,job_density,level4_qual_rate,mean_income,pop_density_per_ha,unemployment,house_price_index
E09000002,Barking and Dagenham,0.5,0.24576801648474658,"31,800",61.3,4.0,140.4416667
E09000003,Barnet,0.7,0.38948076765020134,"59,100",47.4,7.5,120.4583333
E09000004,Bexley,0.55,0.25088853906326075,"38,000",42.4,6.0,141.15
E09000005,Brent,0.62,0.3236987075358429,"44,100",80.1,8.0,115.9583333
E09000006,Bromley,0.6,0.34397301744593034,"54,500",22.6,6.3,125.1916667
E09000007,Camden,2.72,0.48507633151863555,"119,000",119.0,3.6,108.9666667
E09000008,Croydon,0.55,0.3259170913111469,"40,900",46.6,5.7,134.2
E09000009,Ealing,0.63,0.3567846587581548,"46,800",66.6,6.7,122.6416667
E09000010,Enfield,0.58,0.2829561433281614,"42,800",42.9,5.0,133.6666667
E09000011,Greenwich,0.51,0.36298033680656455,"48,900",62.3,8.6,131.7583333
E09000012,Hackney,0.92,0.4234061108409931,"52,500",153.3,6.3,122.2916667
E09000013,Hammersmith and Fulham,1.12,0.48615668524817507,"83,600",119.5,5.2,104.375
E09000014,Haringey,0.49,0.39460637758384487,"57,100",98.4,4.5,120.7666667
E09000015,Harrow,0.5,0.3610869706703215,"46,500",52.2,6.0,125.2583333
E09000016,Havering,0.64,0.23629279684948026,"40,000",23.7,5.3,138.3916667
E09000017,Hillingdon,1.01,0.29637571957673686,"41,600",27.6,6.7,128.8833333
E09000018,Hounslow,0.86,0.3299176559176351,"45,400",51.3,4.5,125.5416667
E09000019,Islington,1.63,0.48005669724685923,"76,600",164.5,4.3,110.1916667
E09000020,Kensington and Chelsea,1.53,0.5107306015693113,"208,000",133.2,4.0,102.3166667
E09000021,Kingston upon Thames,0.8,0.41402331268631404,"56,500",49.6,3.0,119.4833333
E09000022,Lambeth,0.73,0.476342183633765,"56,100",127.7,4.4,121.125
E09000023,Lewisham,0.42,0.40197236427518607,"44,800",91.2,4.6,126.25
E09000024,Merton,0.63,0.40156700915947524,"63,000",57.1,4.6,127.4666667
E09000025,Newham,0.58,0.3165772171515172,"36,100",101.4,4.3,138.7916667
E09000026,Redbridge,0.46,0.3309998066138078,"42,700",56.1,8.4,139.1083333
E09000027,Richmond upon Thames,0.78,0.48182078882413787,"90,400",35.4,5.5,117.9583333
E09000028,Southwark,1.32,0.4567526012800801,"57,800",115.3,5.9,109.0333333
E09000029,Sutton,0.71,0.31429743511464947,"45,200",48.7,5.2,131.1833333
E09000030,Tower Hamlets,1.31,0.4102369918725387,"55,500",167.6,5.3,121.8333333
E09000031,Waltham Forest,0.43,0.3444733770315166,"40,100",75.4,6.1,137.3416667
E09000032,Wandsworth,0.61,0.5231843080737452,"79,700",98.6,5.8,107.3333333
E09000033,Westminster,5.23,0.5011653185530465,"133,000",122.1,6.1,104.4083333
